x,y,z,status
-9250,-713,12597,1
-9214,-880,12620,1
-9158,-714,12611,1
-9255,-711,12614,1
-9269,-911,12617,1
-9158,-657,12618,1
-9231,-736,12655,1
-9268,-888,12675,1
-9095,-643,12665,1
-9329,-802,12595,1
-9212,-898,12651,1
-9146,-678,12609,1
-9327,-790,12617,1
-9302,-865,12583,1
-9102,-641,12646,1
-9344,-807,12540,1
-9180,-864,12637,1
-9143,-636,12645,1
-9313,-820,12611,1
-9234,-838,12582,1
-9142,-651,12636,1
-9372,-837,12553,1
-9216,-821,12579,1
-9154,-653,12591,1
-9326,-895,12595,1
-9150,-794,12632,1
-9132,-655,12662,1
-9304,-863,12598,1
-9167,-772,12657,1
-9159,-641,12625,1
-9331,-912,12615,1
-9159,-781,12619,1
-9230,-658,12603,1
-9213,-908,12646,1
-9179,-719,12610,1
-9179,-694,12691,1
-9275,-897,12635,1
-9131,-697,12623,1
-9301,-717,12590,1
-9241,-882,12651,1
-9187,-706,12623,1
-9258,-738,12632,1
-9265,-925,12612,1
-9100,-677,12575,1
-9289,-772,12574,1
-9251,-887,12579,1
-9114,-693,12613,1
-9355,-762,12577,1
-9256,-892,12611,1
-9165,-650,12587,1
-9310,-824,12569,1
-9269,-818,12597,1
-9076,-627,12678,1
-9369,-803,12562,1
-9161,-851,12602,1
-9154,-708,12623,1
-9312,-847,12582,1
-9247,-842,12573,1
-9096,-641,12638,1
-9370,-876,12597,1
-9126,-815,12642,1
-9138,-655,12670,1
-9286,-863,12630,1
-9181,-809,12573,1
-9170,-670,12654,1
-9343,-906,12577,1
-9174,-770,12587,1
-9180,-637,12615,1
-9279,-893,12601,1
-9102,-735,12587,1
-9216,-659,12626,1
-9216,-915,12654,1
-9182,-748,12596,1
-9214,-673,12636,1
-9299,-935,12588,1
-9124,-695,12615,1
-9282,-745,12558,1
-9239,-895,12652,1
-9139,-677,12611,1
-9245,-727,12685,1
-9282,-922,12645,1
-9106,-644,12644,1
-9348,-790,12589,1
-9247,-885,12658,1
-9123,-673,12598,1
-9349,-792,12572,1
-9263,-870,12557,1
-9107,-657,12666,1
-9329,-817,12580,1
-9230,-842,12583,1
-9122,-646,12653,1
-9335,-854,12570,1
-9178,-844,12599,1
-9158,-675,12604,1
-9344,-846,12567,1
-9215,-841,12584,1
-9120,-638,12691,1
-9342,-869,12599,1
-9131,-757,12614,1
-9152,-651,12633,1
-9246,-878,12641,1
-9183,-787,12592,1
-9148,-683,12665,1
-9324,-927,12570,1
-9100,-770,12603,1
-9215,-670,12614,1
-9227,-906,12642,1
-9174,-735,12619,1
-9194,-721,12636,1
-9249,-907,12625,1
-9146,-711,12629,1
-9297,-743,12625,1
-9251,-912,12591,1
-9136,-677,12634,1
-9282,-732,12652,1
-9243,-892,12671,1
-9115,-645,12670,1
-9286,-780,12609,1
-9299,-889,12619,1
-9097,-637,12618,1
-9356,-776,12521,1
-9227,-827,12610,1
-9166,-655,12585,1
-9295,-784,12615,1
-9287,-875,12613,1
-9076,-613,12661,1
-9400,-840,12515,1
-9174,-815,12628,1
-9164,-660,12637,1
-9368,-811,12581,1
-9217,-856,12592,1
-9155,-614,12642,1
-9327,-903,12629,1
-9171,-787,12587,1
-9127,-639,12663,1
-9322,-869,12626,1
-9129,-803,12647,1
-9209,-678,12610,1
-9296,-911,12592,1
-9183,-783,12648,1
-9171,-638,12662,1
-9290,-914,12659,1
-9106,-711,12632,1
-9251,-683,12656,1
-9196,-889,12629,1
-9183,-714,12562,1
-9234,-695,12625,1
-9260,-925,12591,1
-9151,-694,12605,1
-9283,-744,12560,1
-9254,-878,12629,1
-9160,-704,12613,1
-9281,-755,12659,1
-9250,-881,12604,1
-9139,-676,12628,1
-9296,-782,12591,1
-9270,-885,12617,1
-9112,-636,12638,1
-9354,-790,12580,1
