18:13:37:865 -> X -10501;Y -2792;Z 17710
18:13:37:884 -> X -15025;Y -498;Z 7589
18:13:37:904 -> X -4235;Y 1508;Z 9768
18:13:37:925 -> X -9290;Y -2542;Z 18055
18:13:37:945 -> X -15287;Y -1146;Z 9279
18:13:37:965 -> X -5452;Y 1651;Z 8365
18:13:37:985 -> X -7973;Y -2201;Z 18114
18:13:38:005 -> X -15117;Y -1761;Z 11160
18:13:38:024 -> X -7429;Y 1441;Z 7327
18:13:38:045 -> X -6650;Y -1574;Z 17559
18:13:38:065 -> X -14455;Y -2200;Z 13040
18:13:38:085 -> X -9695;Y 1118;Z 6581
18:13:38:105 -> X -5359;Y -931;Z 16534
18:13:38:125 -> X -13566;Y -2617;Z 14742
18:13:38:144 -> X -11940;Y 634;Z 6297
18:13:38:164 -> X -4173;Y -182;Z 14899
18:13:38:185 -> X -12468;Y -2783;Z 16126
18:13:38:205 -> X -13495;Y 344;Z 6182
18:13:38:224 -> X -3648;Y 644;Z 12982
18:13:38:245 -> X -11318;Y -2838;Z 17216
18:13:38:265 -> X -14601;Y -85;Z 6736
18:13:38:284 -> X -3759;Y 1238;Z 11074
18:13:38:305 -> X -10124;Y -2718;Z 17849
18:13:38:325 -> X -15118;Y -665;Z 8046
18:13:38:344 -> X -4558;Y 1580;Z 9330
18:13:38:365 -> X -8880;Y -2457;Z 18141
18:13:38:385 -> X -15288;Y -1300;Z 9758
18:13:38:405 -> X -5922;Y 1622;Z 8037
18:13:38:425 -> X -7652;Y -2055;Z 17979
18:13:38:445 -> X -14982;Y -1857;Z 11638
18:13:38:465 -> X -7902;Y 1397;Z 7124
18:13:38:485 -> X -6286;Y -1472;Z 17349
18:13:38:513 -> X -14251;Y -2308;Z 13441
18:13:38:524 -> X -10181;Y 1002;Z 6438
18:13:38:545 -> X -5095;Y -779;Z 16239
18:13:38:565 -> X -13308;Y -2644;Z 15050
18:13:38:584 -> X -12240;Y 554;Z 6183
